Outcome,Variant,Sex,Model,Predictors,N train,N test,Prevalence test,AUC,CV AUC mean,CV AUC sd,CV F1 macro,Train AUC,Threshold,Brier,Calibration slope,Calibration intercept,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,F1 macro,Kappa,TP,FP,TN,FN,Accuracy at threshold,Sensitivity at threshold,Specificity at threshold,PPV at threshold,NPV at threshold,F1 at threshold,F1 macro at threshold,Kappa at threshold,TP at threshold,FP at threshold,TN at threshold,FN at threshold,AUC CI low,AUC CI high,Sensitivity CI low,Sensitivity CI high,Specificity CI low,Specificity CI high,Brier CI low,Brier CI high,Fit time (s)
Statins,PostIndex,Women,Gradient boosting,574,4632,1158,0.31,0.7918,0.7924,0.0094,0.7273,0.8401,0.3197,0.1545,1.1632,0.0474,0.785,0.4457,0.9374,0.7619,0.7901,0.5624,0.7099,0.4325,160,50,749,199,0.7729,0.546,0.8748,0.6622,0.8109,0.5985,0.7201,0.4422,196,100,699,163,0.7623,0.8197,0.4927,0.5955,0.8531,0.8972,0.1418,0.1673,95.9
Statins,PostIndex,Women,Histogram gradient boosting,574,4632,1158,0.31,0.7727,0.7793,0.0102,0.7191,0.9748,0.3173,0.1586,0.8805,0.0856,0.7858,0.4568,0.9337,0.7558,0.7928,0.5694,0.7135,0.4382,164,53,746,195,0.7539,0.5766,0.8335,0.6088,0.8142,0.5923,0.708,0.4162,207,133,666,152,0.7416,0.8042,0.5243,0.627,0.8082,0.8582,0.1448,0.1724,59.0
Statins,PostIndex,Women,Bagging,574,4632,1158,0.31,0.7596,0.7731,0.0189,0.7219,0.9746,0.43,0.1639,0.9967,-0.0438,0.7781,0.4485,0.9262,0.7318,0.7889,0.5561,0.7041,0.4193,161,59,740,198,0.7746,0.5014,0.8974,0.687,0.8002,0.5797,0.7129,0.4308,180,82,717,179,0.7269,0.7884,0.4473,0.5553,0.8761,0.9174,0.1519,0.1766,977.7
Statins,PostIndex,Women,SGD classifier,574,4632,1158,0.31,0.72,0.7185,0.0184,0.6852,0.8247,0.3519,0.1855,0.5315,0.0468,0.7539,0.4373,0.8961,0.6542,0.78,0.5242,0.6791,0.3669,157,83,716,202,0.7176,0.5515,0.7922,0.544,0.7972,0.5477,0.6712,0.3425,198,166,633,161,0.6863,0.7533,0.5028,0.6006,0.7665,0.8198,0.171,0.2009,36.9
Statins,PostIndex,Women,K-nearest neighbors,574,4632,1158,0.31,0.5758,0.5469,0.0116,0.5169,0.8547,0.3333,0.2505,0.0365,0.3243,0.6649,0.2451,0.8536,0.4293,0.7156,0.3121,0.5453,0.1119,88,117,682,271,0.5086,0.6769,0.433,0.3491,0.7489,0.4607,0.5047,0.0873,243,453,346,116,0.5399,0.6078,0.6274,0.7221,0.3975,0.4675,0.2321,0.2683,38.8
Statins,PostIndex,Men,Penalised logistic regression,574,4207,1052,0.2728,0.7848,0.7509,0.0226,0.6952,0.8321,0.344,0.1541,0.7723,-0.0619,0.7918,0.4181,0.932,0.6977,0.8102,0.5229,0.6949,0.4002,120,52,713,167,0.7804,0.5923,0.851,0.5986,0.8477,0.5954,0.7224,0.4448,170,114,651,117,0.7511,0.8156,0.536,0.6534,0.8272,0.8753,0.1389,0.1682,1032.6
Statins,PostIndex,Men,Random forest,574,4207,1052,0.2728,0.7653,0.7293,0.0166,0.6294,1.0,0.36,0.163,1.1877,-0.1233,0.7747,0.3554,0.932,0.6623,0.794,0.4626,0.66,0.3361,102,52,713,185,0.7348,0.6202,0.7778,0.5115,0.8452,0.5606,0.6854,0.3732,178,170,595,109,0.7298,0.7991,0.561,0.6818,0.748,0.806,0.1517,0.1746,88.5
Statins,PostIndex,Men,Neural network,574,4207,1052,0.2728,0.7372,0.7119,0.0216,0.6687,0.9095,0.3215,0.1702,0.5664,0.0475,0.7671,0.3728,0.915,0.6221,0.7955,0.4662,0.6586,0.329,107,65,700,180,0.7462,0.5819,0.8078,0.5318,0.8374,0.5557,0.689,0.3786,167,147,618,120,0.7016,0.7734,0.5249,0.6396,0.7805,0.836,0.1535,0.1858,528.0
Statins,PostIndex,Men,XGBoost,574,4207,1052,0.2728,0.7898,0.7633,0.0281,0.7164,1.0,0.2296,0.1654,0.3372,0.9898,0.808,0.5052,0.9216,0.7073,0.8323,0.5894,0.7321,0.4686,145,60,705,142,0.7757,0.561,0.8562,0.5941,0.8387,0.5771,0.7122,0.4246,161,110,655,126,0.7548,0.8232,0.5,0.6218,0.8289,0.8795,0.1445,0.1867,208.9
Statins,PostIndex,Men,Gradient boosting,574,4207,1052,0.2728,0.8251,0.7845,0.0285,0.7194,0.8525,0.3437,0.135,1.1827,-0.1132,0.8222,0.5192,0.9359,0.7525,0.8384,0.6144,0.7495,0.5039,149,49,716,138,0.807,0.5784,0.8928,0.6694,0.8495,0.6206,0.7456,0.4921,166,82,683,121,0.7957,0.8554,0.5204,0.6389,0.8707,0.9136,0.1219,0.1487,90.2
Statins,PostIndex,Men,Histogram gradient boosting,574,4207,1052,0.2728,0.798,0.7766,0.0244,0.7235,0.9844,0.3033,0.1392,0.8718,-0.0388,0.8184,0.5052,0.9359,0.7474,0.8345,0.6029,0.7426,0.4909,145,49,716,142,0.7719,0.6272,0.8261,0.5751,0.8552,0.6,0.7202,0.4408,180,133,632,107,0.7638,0.8304,0.5681,0.6864,0.7982,0.8525,0.1241,0.1542,57.3
Statins,PostIndex,Men,Bagging,574,4207,1052,0.2728,0.7882,0.7557,0.0235,0.7172,0.988,0.3909,0.1455,0.9532,-0.1783,0.8118,0.5226,0.9203,0.7109,0.8371,0.6024,0.7396,0.4829,150,61,704,137,0.7833,0.5854,0.8575,0.6065,0.8465,0.5957,0.7238,0.4478,168,109,656,119,0.7538,0.8211,0.5309,0.6439,0.8333,0.8817,0.1314,0.1591,1028.2
Statins,PostIndex,Men,SGD classifier,574,4207,1052,0.2728,0.7419,0.7122,0.0199,0.6705,0.8304,0.3202,0.1777,0.4477,-0.1766,0.7671,0.4878,0.8719,0.5882,0.8194,0.5333,0.6891,0.38,140,98,667,147,0.7072,0.5923,0.7503,0.4709,0.8307,0.5247,0.6566,0.3171,170,191,574,117,0.7076,0.7766,0.5284,0.6473,0.7202,0.7822,0.1607,0.1933,33.8
Statins,PostIndex,Men,K-nearest neighbors,574,4207,1052,0.2728,0.5393,0.5525,0.0127,0.5429,0.8668,0.6667,0.2486,0.0187,0.1735,0.6721,0.2021,0.8484,0.3333,0.7392,0.2516,0.5208,0.0575,58,116,649,229,0.6721,0.2021,0.8484,0.3333,0.7392,0.2516,0.5208,0.0575,58,116,649,229,0.5033,0.5753,0.1567,0.25,0.8231,0.8721,0.2298,0.2681,32.4
