Outcome,Variant,Sex,Model,Parameter,Value
Combined,Baseline,Men,Penalised logistic regression,l1_ratio,0.7
Combined,Baseline,Men,Random forest,max_depth,5
Combined,Baseline,Men,Random forest,n_estimators,110
Combined,Baseline,Men,Neural network,alpha,9.1e-05
Combined,Baseline,Men,Neural network,early_stopping,True
Combined,Baseline,Men,Neural network,hidden_layer_sizes,"(70, 70)"
Combined,Baseline,Men,Neural network,learning_rate_init,0.0051
Combined,Baseline,Men,XGBoost,max_depth,5
Combined,Baseline,Men,XGBoost,n_estimators,30
Combined,Baseline,Men,XGBoost,subsample,1.0
Combined,Baseline,Men,Gradient boosting,max_features,0.9
Combined,Baseline,Men,Gradient boosting,n_estimators,110
Combined,Baseline,Men,Gradient boosting,n_iter_no_change,10
Combined,Baseline,Men,Gradient boosting,subsample,0.7
Combined,Baseline,Men,Gradient boosting,validation_fraction,0.13
Combined,Baseline,Men,Histogram gradient boosting,learning_rate,0.07
Combined,Baseline,Men,Histogram gradient boosting,max_depth,20
Combined,Baseline,Men,Histogram gradient boosting,n_iter_no_change,10
Combined,Baseline,Men,Histogram gradient boosting,validation_fraction,0.02
Combined,Baseline,Men,Bagging,max_features,0.94
Combined,Baseline,Men,Bagging,max_samples,0.4
Combined,Baseline,Men,Bagging,n_estimators,150
Combined,Baseline,Men,SGD classifier,alpha,0.000511
Combined,Baseline,Men,SGD classifier,early_stopping,False
Combined,Baseline,Men,SGD classifier,loss,log_loss
Combined,Baseline,Men,SGD classifier,n_iter_no_change,40
Combined,Baseline,Men,SGD classifier,validation_fraction,0.06
Combined,Baseline,Men,K-nearest neighbors,n_neighbors,17
Combined,Baseline,Men,K-nearest neighbors,p,1
Combined,Baseline,Men,K-nearest neighbors,weights,distance
Statins,PostIndex,Women,Penalised logistic regression,C,0.05623413251903491
Statins,PostIndex,Women,Penalised logistic regression,l1_ratio,0.7
Statins,PostIndex,Women,Random forest,max_depth,15
Statins,PostIndex,Women,Random forest,n_estimators,110
Statins,PostIndex,Women,Neural network,alpha,0.000931
Statins,PostIndex,Women,Neural network,early_stopping,True
Statins,PostIndex,Women,Neural network,hidden_layer_sizes,"(660,)"
Statins,PostIndex,Women,Neural network,learning_rate_init,0.0041
Statins,PostIndex,Women,XGBoost,max_depth,20
Statins,PostIndex,Women,XGBoost,n_estimators,30
Statins,PostIndex,Women,XGBoost,subsample,0.9
Statins,PostIndex,Women,Gradient boosting,max_features,0.52
Statins,PostIndex,Women,Gradient boosting,n_estimators,150
Statins,PostIndex,Women,Gradient boosting,n_iter_no_change,5
Statins,PostIndex,Women,Gradient boosting,subsample,0.9
Statins,PostIndex,Women,Gradient boosting,validation_fraction,0.07
Statins,PostIndex,Women,Histogram gradient boosting,learning_rate,0.09
Statins,PostIndex,Women,Histogram gradient boosting,max_depth,20
Statins,PostIndex,Women,Histogram gradient boosting,n_iter_no_change,15
Statins,PostIndex,Women,Histogram gradient boosting,validation_fraction,0.07
Statins,PostIndex,Women,Bagging,max_features,0.8
Statins,PostIndex,Women,Bagging,max_samples,0.3
Statins,PostIndex,Women,Bagging,n_estimators,100
Statins,PostIndex,Women,SGD classifier,alpha,0.000431
Statins,PostIndex,Women,SGD classifier,early_stopping,False
Statins,PostIndex,Women,SGD classifier,loss,log_loss
Statins,PostIndex,Women,SGD classifier,n_iter_no_change,35
Statins,PostIndex,Women,SGD classifier,validation_fraction,0.14
Statins,PostIndex,Women,K-nearest neighbors,n_neighbors,3
Statins,PostIndex,Women,K-nearest neighbors,p,2
Statins,PostIndex,Women,K-nearest neighbors,weights,uniform
Statins,PostIndex,Men,Penalised logistic regression,C,0.1778279410038923
Statins,PostIndex,Men,Penalised logistic regression,l1_ratio,0.9
Statins,PostIndex,Men,Random forest,max_depth,295
Statins,PostIndex,Men,Random forest,n_estimators,50
Statins,PostIndex,Men,Neural network,alpha,0.000961
Statins,PostIndex,Men,Neural network,early_stopping,True
Statins,PostIndex,Men,Neural network,hidden_layer_sizes,"(690,)"
Statins,PostIndex,Men,Neural network,learning_rate_init,0.0011
Statins,PostIndex,Men,XGBoost,max_depth,35
Statins,PostIndex,Men,XGBoost,n_estimators,90
Statins,PostIndex,Men,XGBoost,subsample,1.0
Statins,PostIndex,Men,Gradient boosting,max_features,0.68
Statins,PostIndex,Men,Gradient boosting,n_estimators,180
Statins,PostIndex,Men,Gradient boosting,n_iter_no_change,5
Statins,PostIndex,Men,Gradient boosting,subsample,0.8
Statins,PostIndex,Men,Gradient boosting,validation_fraction,0.08
Statins,PostIndex,Men,Histogram gradient boosting,learning_rate,0.1
Statins,PostIndex,Men,Histogram gradient boosting,max_depth,40
Statins,PostIndex,Men,Histogram gradient boosting,n_iter_no_change,10
Statins,PostIndex,Men,Histogram gradient boosting,validation_fraction,0.06
Statins,PostIndex,Men,Bagging,max_features,0.98
Statins,PostIndex,Men,Bagging,max_samples,0.4
Statins,PostIndex,Men,Bagging,n_estimators,110
Statins,PostIndex,Men,SGD classifier,alpha,0.000491
Statins,PostIndex,Men,SGD classifier,early_stopping,False
Statins,PostIndex,Men,SGD classifier,loss,log_loss
Statins,PostIndex,Men,SGD classifier,n_iter_no_change,30
Statins,PostIndex,Men,SGD classifier,validation_fraction,0.5
Statins,PostIndex,Men,K-nearest neighbors,n_neighbors,3
Statins,PostIndex,Men,K-nearest neighbors,p,2
Statins,PostIndex,Men,K-nearest neighbors,weights,uniform
Antihypertensives,PostIndex,Women,Penalised logistic regression,C,0.05623413251903491
Antihypertensives,PostIndex,Women,Penalised logistic regression,l1_ratio,0.7
Antihypertensives,PostIndex,Women,Random forest,max_depth,35
